,2012,2013,2014,2015,2016
!,0.0,8.0,0.0,0.0,0.0
"""",1.0,0.0,0.0,0.0,0.0
"""$200",0.0,1.0,0.0,0.0,0.0
"""&",2.0,0.0,0.0,0.0,0.0
"""'A",0.0,0.0,0.0,1.0,0.0
"""'About",0.0,0.0,0.0,1.0,0.0
"""'Absolute",0.0,0.0,0.0,1.0,0.0
"""'After",0.0,0.0,0.0,0.0,1.0
"""'Ah!'",0.0,0.0,0.0,2.0,0.0
"""'Ah,",0.0,0.0,0.0,2.0,0.0
"""'Ample.'",0.0,0.0,0.0,1.0,0.0
"""'And",0.0,0.0,0.0,10.0,0.0
"""'Arthur!'",0.0,0.0,0.0,1.0,0.0
"""'As",0.0,0.0,0.0,1.0,0.0
"""'At",0.0,0.0,0.0,1.0,0.0
"""'Because",0.0,0.0,0.0,1.0,0.0
"""'Breckinridge,",0.0,0.0,0.0,1.0,0.0
"""'But",0.0,0.0,0.0,2.0,0.0
"""'But,",0.0,0.0,0.0,1.0,0.0
"""'But,'",0.0,0.0,0.0,1.0,0.0
"""'Certainly",0.0,0.0,0.0,2.0,0.0
"""'Certainly,'",0.0,0.0,0.0,1.0,0.0
"""'Come!",0.0,0.0,0.0,1.0,0.0
"""'Come,",0.0,0.0,0.0,1.0,0.0
"""'DEAR",0.0,0.0,0.0,1.0,0.0
"""'Dear",0.0,0.0,0.0,2.0,0.0
"""'Dearest",0.0,0.0,0.0,1.0,0.0
"""'Death,'",0.0,0.0,0.0,1.0,0.0
"""'December",0.0,0.0,0.0,1.0,0.0
"""'Deed",0.0,1.0,0.0,0.0,0.0
"""'Deed,",0.0,1.0,0.0,0.0,0.0
"""'Do",0.0,0.0,0.0,3.0,0.0
"""'Doan'",0.0,1.0,0.0,0.0,0.0
"""'Don't",0.0,0.0,0.0,1.0,0.0
"""'Entirely.'",0.0,0.0,0.0,1.0,0.0
"""'For",0.0,0.0,0.0,1.0,0.0
"""'Fraid",0.0,1.0,0.0,0.0,0.0
"""'Fritz!",0.0,0.0,0.0,1.0,0.0
"""'From",0.0,0.0,0.0,1.0,0.0
"""'Gone",0.0,0.0,0.0,1.0,0.0
"""'Hampshire.",0.0,0.0,0.0,1.0,0.0
"""'Have",0.0,0.0,0.0,1.0,0.0
"""'Here",0.0,0.0,0.0,1.0,0.0
"""'How",0.0,0.0,0.0,2.0,0.0
"""'I",0.0,1.0,0.0,22.0,0.0
"""'If",0.0,0.0,0.0,3.0,0.0
"""'In",0.0,0.0,0.0,2.0,0.0
"""'Is",0.0,0.0,0.0,3.0,0.0
"""'It",0.0,0.0,0.0,7.0,0.0
"""'It's",0.0,0.0,0.0,1.0,0.0
"""'Jephro,'",0.0,0.0,0.0,1.0,0.0
"""'Keep",0.0,0.0,0.0,1.0,0.0
"""'Ku",0.0,0.0,0.0,1.0,0.0
"""'L'homme",0.0,0.0,0.0,1.0,0.0
"""'Like",0.0,0.0,0.0,1.0,0.0
